epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,8363.9,1.36861,0.71433,0.92291,0.88665,0.8178,0.90065,0.52875,1.3184,0.63652,0.90923,0.004555,0.004555,0.004555
57,8520.88,1.36225,0.71096,0.91994,0.87575,0.82785,0.90013,0.52989,1.31656,0.63529,0.90838,0.004456,0.004456,0.004456
58,8675.17,1.36068,0.70672,0.91929,0.88583,0.82398,0.9026,0.53153,1.31304,0.63019,0.90824,0.004357,0.004357,0.004357
59,8826.87,1.35672,0.70513,0.91823,0.89046,0.82077,0.90398,0.53262,1.31166,0.62962,0.90724,0.004258,0.004258,0.004258
60,8979.5,1.35659,0.7054,0.92216,0.88733,0.82343,0.90452,0.53187,1.31194,0.62689,0.90713,0.004159,0.004159,0.004159
61,9131.04,1.35441,0.70061,0.91822,0.88796,0.82759,0.90468,0.53056,1.31403,0.62513,0.90763,0.00406,0.00406,0.00406
62,9282.11,1.3451,0.69876,0.91943,0.8898,0.82963,0.90526,0.53318,1.31206,0.62407,0.9077,0.003961,0.003961,0.003961
63,9437.71,1.34449,0.69313,0.9155,0.88879,0.82886,0.9044,0.53448,1.30864,0.62202,0.90646,0.003862,0.003862,0.003862
64,9594.35,1.34612,0.69383,0.9168,0.88216,0.83414,0.90484,0.53424,1.30695,0.62021,0.90614,0.003763,0.003763,0.003763
65,9752.02,1.3393,0.69177,0.915,0.88728,0.82821,0.90509,0.53556,1.30536,0.61995,0.90509,0.003664,0.003664,0.003664
66,9904.31,1.33009,0.68683,0.91424,0.88748,0.82906,0.90578,0.5354,1.30706,0.61894,0.90543,0.003565,0.003565,0.003565
67,10056.4,1.33828,0.68468,0.91551,0.8882,0.83399,0.90748,0.53604,1.30486,0.61815,0.90482,0.003466,0.003466,0.003466
68,10204.5,1.33131,0.68416,0.91374,0.88828,0.83429,0.90746,0.53701,1.3051,0.6165,0.90522,0.003367,0.003367,0.003367
69,10351.4,1.33369,0.68359,0.91513,0.89039,0.83299,0.90745,0.53724,1.30333,0.61624,0.90511,0.003268,0.003268,0.003268
70,10496.3,1.32459,0.67938,0.91292,0.89065,0.83241,0.90767,0.53841,1.30178,0.61369,0.90501,0.003169,0.003169,0.003169
71,10640.8,1.32042,0.67709,0.91195,0.88806,0.83064,0.90759,0.53953,1.30004,0.61238,0.90483,0.00307,0.00307,0.00307
72,10785.2,1.32502,0.67823,0.91315,0.88781,0.83573,0.90889,0.53945,1.29879,0.6112,0.90437,0.002971,0.002971,0.002971
73,10928.5,1.31765,0.67114,0.90996,0.8864,0.83666,0.90872,0.53958,1.29848,0.6107,0.90411,0.002872,0.002872,0.002872
74,11070.7,1.31123,0.66999,0.90828,0.88362,0.84218,0.90858,0.53962,1.29754,0.61024,0.90405,0.002773,0.002773,0.002773
75,11212.4,1.30306,0.66263,0.90969,0.88358,0.84047,0.90865,0.54072,1.29621,0.6091,0.90395,0.002674,0.002674,0.002674
76,11354.6,1.30846,0.66082,0.90877,0.88353,0.83931,0.90831,0.54052,1.29534,0.60866,0.90362,0.002575,0.002575,0.002575
77,11494.7,1.2967,0.65737,0.90674,0.88198,0.84218,0.90801,0.54131,1.29332,0.60656,0.9031,0.002476,0.002476,0.002476
78,11635.2,1.29478,0.6612,0.90659,0.88525,0.84061,0.90839,0.54221,1.29286,0.60581,0.90305,0.002377,0.002377,0.002377
79,11775.7,1.28913,0.65432,0.90533,0.88781,0.83952,0.90861,0.54222,1.29093,0.60482,0.90259,0.002278,0.002278,0.002278
80,11917.2,1.29119,0.65195,0.9053,0.88832,0.83863,0.90906,0.54185,1.29017,0.60385,0.90231,0.002179,0.002179,0.002179
81,12059.7,1.2873,0.65009,0.90779,0.88873,0.83902,0.9099,0.54288,1.28923,0.6031,0.90205,0.00208,0.00208,0.00208
82,12203.6,1.27889,0.64751,0.90274,0.89057,0.83981,0.91029,0.5429,1.28865,0.60256,0.90205,0.001981,0.001981,0.001981
83,12347.1,1.27754,0.64613,0.90358,0.89216,0.83854,0.9107,0.54324,1.28793,0.60239,0.9018,0.001882,0.001882,0.001882
84,12490.7,1.27615,0.64296,0.90305,0.89154,0.83873,0.90993,0.54318,1.2876,0.60109,0.90173,0.001783,0.001783,0.001783
85,12635.1,1.27541,0.64176,0.90422,0.88955,0.841,0.90996,0.54323,1.28735,0.60073,0.90161,0.001684,0.001684,0.001684
86,12778.2,1.27026,0.63421,0.90268,0.89117,0.84129,0.91032,0.54352,1.28732,0.60003,0.9017,0.001585,0.001585,0.001585
87,12919.4,1.27282,0.63732,0.90278,0.89486,0.83794,0.91053,0.54377,1.28702,0.59916,0.90181,0.001486,0.001486,0.001486
88,13061.3,1.26509,0.63298,0.90058,0.89155,0.84297,0.91085,0.54429,1.28646,0.5987,0.90179,0.001387,0.001387,0.001387
89,13202.2,1.25673,0.62711,0.89987,0.89129,0.84356,0.91044,0.54411,1.28628,0.59806,0.90175,0.001288,0.001288,0.001288
90,13344.3,1.26368,0.63209,0.90015,0.89182,0.84376,0.91164,0.54439,1.28579,0.59745,0.90164,0.001189,0.001189,0.001189
91,13484.9,1.25767,0.62541,0.90437,0.89054,0.84297,0.91097,0.54435,1.28682,0.59766,0.90167,0.00109,0.00109,0.00109
92,13623.4,1.2395,0.60886,0.90014,0.89037,0.84487,0.91151,0.54493,1.28663,0.59753,0.90166,0.000991,0.000991,0.000991
93,13761.3,1.23318,0.60648,0.89664,0.89171,0.84317,0.91178,0.54509,1.28662,0.5973,0.90164,0.000892,0.000892,0.000892
94,13898.3,1.22968,0.60592,0.89627,0.89505,0.84041,0.912,0.54516,1.28646,0.59668,0.9016,0.000793,0.000793,0.000793
95,14034.6,1.22098,0.59839,0.89513,0.89567,0.8406,0.91191,0.54573,1.28648,0.59659,0.9016,0.000694,0.000694,0.000694
96,14171.3,1.22468,0.60136,0.89661,0.89582,0.8412,0.91231,0.54581,1.28673,0.59639,0.90161,0.000595,0.000595,0.000595
97,14308.1,1.21411,0.59303,0.89534,0.89549,0.84179,0.91193,0.54534,1.2865,0.5962,0.90156,0.000496,0.000496,0.000496
98,14444.5,1.21157,0.58946,0.89488,0.89597,0.84242,0.9118,0.54558,1.28686,0.59586,0.90159,0.000397,0.000397,0.000397
99,14581.3,1.21064,0.59246,0.89408,0.89672,0.84068,0.912,0.5457,1.28723,0.59578,0.90161,0.000298,0.000298,0.000298
100,14717.4,1.19876,0.58447,0.89114,0.8969,0.83974,0.91199,0.54578,1.28753,0.59536,0.90163,0.000199,0.000199,0.000199
